ABB,2012: ROCE differs from source by >5%; category=version difference; computed=36.321483771251934; source=46.0
ABB,2012: ROE differs from source by >5%; category=data source issue; computed=22.411128284389488; source=34.9
ABB,2014: ROCE differs from source by >5%; category=version difference; computed=40.10152284263959; source=46.0
ABB,2014: ROE differs from source by >5%; category=data source issue; computed=25.12690355329949; source=34.9
ABB,2015: ROCE differs from source by >5%; category=version difference; computed=38.4204909284952; source=46.0
ABB,2015: ROE differs from source by >5%; category=data source issue; computed=24.439701173959445; source=34.9
ABB,2016: ROCE differs from source by >5%; category=version difference; computed=34.72803347280335; source=46.0
ABB,2016: ROE differs from source by >5%; category=data source issue; computed=21.338912133891213; source=34.9
ABB,2017: ROCE differs from source by >5%; category=version difference; computed=32.804614275414565; source=46.0
ABB,2017: ROE differs from source by >5%; category=data source issue; computed=19.971160778658977; source=34.9
ABB,2018: ROCE differs from source by >5%; category=version difference; computed=37.92085056113408; source=46.0
ABB,2018: ROE differs from source by >5%; category=data source issue; computed=23.685764914353218; source=34.9
ABB,2019: ROCE differs from source by >5%; category=version difference; computed=35.756972111553786; source=46.0
ABB,2019: ROE differs from source by >5%; category=data source issue; computed=22.410358565737052; source=34.9
ABB,2020: ROCE differs from source by >5%; category=version difference; computed=33.42287029930929; source=46.0
ABB,2020: ROE differs from source by >5%; category=data source issue; computed=24.39325380501851; source=34.9
ABB,2021: ROCE differs from source by >5%; category=version difference; computed=36.40653357531761; source=46.0
ABB,2021: ROE differs from source by >5%; category=data source issue; computed=26.5564950038432; source=34.9
ABB,2022: ROCE differs from source by >5%; category=version difference; computed=39.19919246298789; source=46.0
ABB,2022: ROE differs from source by >5%; category=data source issue; computed=28.333333333333332; source=34.9
ABB,2023: ROE differs from source by >5%; category=data source issue; computed=29.767879548306148; source=34.9
ADANIENSOL,2014: ROCE differs from source by >5%; category=version difference; computed=0.0; source=9.0
ADANIENSOL,2014: ROE differs from source by >5%; category=data source issue; computed=0.0; source=8.59
ADANIENSOL,2015: ROCE differs from source by >5%; category=version difference; computed=0.9643916913946587; source=9.0
ADANIENSOL,2015: ROE differs from source by >5%; category=data source issue; computed=-0.6463527239150507; source=8.59
ADANIENSOL,2016: ROCE differs from source by >5%; category=version difference; computed=17.740072843564008; source=9.0
ADANIENSOL,2016: ROE differs from source by >5%; category=data source issue; computed=13.77245508982036; source=8.59
ADANIENSOL,2017: ROCE differs from source by >5%; category=version difference; computed=16.817648045629927; source=9.0
ADANIENSOL,2017: ROE differs from source by >5%; category=data source issue; computed=14.116050220563285; source=8.59
ADANIENSOL,2018: ROCE differs from source by >5%; category=version difference; computed=17.81619654231119; source=9.0
ADANIENSOL,2018: ROE differs from source by >5%; category=data source issue; computed=18.87072808320951; source=8.59
ADANIENSOL,2021: ROCE differs from source by >5%; category=version difference; computed=14.06397512078636; source=9.0
ADANIENSOL,2021: ROE differs from source by >5%; category=data source issue; computed=14.46350487722839; source=8.59
ADANIENSOL,2024: OPM mismatch; category=data source issue; computed=34.38911302462817; source=30.0
ADANIENT,2013: ROE differs from source by >5%; category=data source issue; computed=5.692652832305104; source=13.64
ADANIENT,2016: ROE differs from source by >5%; category=data source issue; computed=7.4749588877261175; source=13.64
ADANIENT,2017: ROE differs from source by >5%; category=data source issue; computed=6.543576683644596; source=13.64
ADANIENT,2018: ROE differs from source by >5%; category=data source issue; computed=3.936642587315263; source=13.64
ADANIENT,2019: ROE differs from source by >5%; category=data source issue; computed=3.429113580916238; source=13.64
ADANIENT,2020: ROE differs from source by >5%; category=data source issue; computed=6.136779370980115; source=13.64
ADANIENT,2021: ROE differs from source by >5%; category=data source issue; computed=6.0959263360335685; source=13.64
ADANIENT,2022: ROE differs from source by >5%; category=data source issue; computed=3.5404591813811384; source=13.64
ADANIENT,2023: ROE differs from source by >5%; category=data source issue; computed=7.328068742246831; source=13.64
ADANIENT,2024: ROE differs from source by >5%; category=data source issue; computed=7.960187130036281; source=13.64
ADANIGREEN,2017: ROCE differs from source by >5%; category=version difference; computed=8.702702702702702; source=96.5
ADANIGREEN,2017: ROE differs from source by >5%; category=data source issue; computed=-3.906899418121363; source=14.7
ADANIGREEN,2018: ROCE differs from source by >5%; category=version difference; computed=7.898259705488621; source=96.5
ADANIGREEN,2018: ROE differs from source by >5%; category=data source issue; computed=-10.290827740492169; source=14.7
ADANIGREEN,2019: ROCE differs from source by >5%; category=version difference; computed=12.22944550669216; source=96.5
ADANIGREEN,2019: ROE differs from source by >5%; category=data source issue; computed=-24.573202276254527; source=14.7
ADANIGREEN,2020: ROCE differs from source by >5%; category=version difference; computed=7.774487603785636; source=96.5
ADANIGREEN,2020: ROE differs from source by >5%; category=data source issue; computed=-2.8850233347475602; source=14.7
ADANIGREEN,2021: ROCE differs from source by >5%; category=version difference; computed=9.96629936763982; source=96.5
ADANIGREEN,2021: ROE differs from source by >5%; category=data source issue; computed=8.272727272727273; source=14.7
ADANIGREEN,2022: ROCE differs from source by >5%; category=version difference; computed=7.248494030227609; source=96.5
ADANIGREEN,2023: ROCE differs from source by >5%; category=version difference; computed=9.161831391096593; source=96.5
ADANIGREEN,2024: ROCE differs from source by >5%; category=version difference; computed=10.999153911237597; source=96.5
ADANIPORTS,2013: ROE differs from source by >5%; category=data source issue; computed=25.633406318423525; source=18.1
ADANIPORTS,2018: ROCE differs from source by >5%; category=version difference; computed=18.489589351327616; source=12.9
ADANIPORTS,2022: ROE differs from source by >5%; category=data source issue; computed=11.843332297171278; source=18.1
