source_file,logical_table,status,notes
1788501606103-7177b6c2-companies.xlsx,companies,present,92 source rows and 92 canonical companies
1788501607124-aad40f4f-profitandloss.xlsx,profitandloss,present,1276 source rows and 1164 canonical rows
1788501604829-ac8c0874-balancesheet.xlsx,balancesheet,present,1312 source rows and 1058 canonical rows
1788501605758-8e951681-cashflow.xlsx,cashflow,present,1187 source rows and 1056 canonical rows
1788501604303-57986a9b-analysis.xlsx,analysis,present,20 source rows and 4 canonical rows
1788501606362-ba899c04-documents.xlsx,documents,present,1585 source rows and 1456 canonical rows
1788501607452-d6bbe55b-prosandcons.xlsx,prosandcons,present,16 source rows and 4 canonical rows
1788501621129-8684701e-sectors.xlsx,sectors,present,92 source rows
1788501621395-a51977cd-stock_prices.xlsx,stock_prices,present,5520 source rows
1788501620089-fb3ae469-financial_ratios.xlsx,financial_ratios,present,1183 source rows and 1041 canonical rows
1788501620397-69ae3e7f-market_cap.xlsx,market_cap,present,552 source rows
1788501620796-5060f580-peer_groups.xlsx,peer_groups,present,56 source rows and 248 pair rows
